,t,x,y,vx,vy,s
13429,1823.9014285714288,465500,-821000,-30.93147850036621,-57.19796752929688,1771.098388671875
13430,1842.3825,465500,-821500,-30.930540084838867,-60.515811920166016,1772.2867431640625
13431,1853.2818181818184,465500,-822000,-31.991107940673828,-61.18659591674805,1770.476806640625
13432,1906.9766666666667,465500,-839500,-79.48130798339844,-72.79322814941406,1635.8258056640625
13433,1919.171,465500,-840000,-79.77864837646484,-71.98417663574219,1632.1732177734375
13434,1641.19,465500,-842000,-82.11398315429688,-71.79613494873047,1622.6427001953125
13435,1665.735625,465500,-842500,-83.0434799194336,-72.17361450195312,1617.4749755859375
13436,1540.821428571429,465500,-850500,-94.7384796142578,-64.60050964355469,1606.5828857421875
13437,1445.2155,465500,-851000,-95.43489837646484,-64.87461853027344,1605.5523681640625
13438,1410.5884615384616,465500,-851500,-95.99853515625,-65.81246948242188,1602.80224609375
13439,1505.193125,465500,-856000,-100.36498260498048,-69.90148162841797,1548.55029296875
13440,1513.47,465500,-856500,-101.2506103515625,-69.58924102783203,1545.91552734375
13441,1513.2,465500,-857000,-101.29090118408205,-69.80673217773438,1545.0224609375
13442,1510.6038095238096,465500,-857500,-101.32198333740234,-70.18477630615234,1543.8427734375
13443,1532.105652173913,465500,-858000,-101.62681579589844,-70.56361389160156,1541.8907470703125
13444,1519.0,465500,-858500,-102.05840301513672,-70.94108581542969,1539.5159912109375
13445,1632.885,465500,-859500,-102.63330841064452,-71.74449157714844,1532.3878173828125
13446,1618.681052631579,465500,-860000,-102.79420471191406,-72.00122833251953,1530.123779296875
13447,1627.1426315789474,465500,-860500,-102.92227935791016,-72.46552276611328,1529.645751953125
13448,1609.7113636363638,465500,-862000,-103.29415893554688,-75.4403076171875,1529.0985107421875
13449,1587.7233333333331,465500,-865500,-101.3928680419922,-79.63423156738281,1513.586669921875
13450,1576.443870967742,465500,-866000,-101.79045104980467,-79.68770599365234,1510.3970947265625
13451,1542.29125,465500,-866500,-102.89344024658205,-79.3166275024414,1506.61572265625
13452,1408.34,465500,-867500,-106.40738677978516,-77.87507629394531,1495.09521484375
13453,1390.3100000000002,465500,-868000,-108.9372787475586,-76.30086517333984,1487.087646484375
13454,1795.6899999999998,465500,-869500,-117.07688903808594,-66.01395416259766,1459.59765625
13455,1579.32,465500,-873000,-115.27687072753906,-50.46272277832031,1469.575439453125
13456,1547.8125,465500,-873500,-114.91152954101562,-51.172828674316406,1471.5177001953125
13457,1401.236,465500,-874000,-115.13166809082033,-52.31584167480469,1470.4217529296875
13458,1350.86,465500,-874500,-116.43107604980467,-53.33704376220703,1466.5787353515625
