,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
6613,420000_-907500,2303.0099999999998,8.04080383517649,20,1.7979783969195646,1.7979783969195646,420000,-907500
6614,420000_-908000,2350.3190476190475,48.33444702329403,21,10.547441055146566,10.547441055146566,420000,-908000
6615,420000_-908500,2363.0099999999998,61.841180535303465,21,13.494851946117041,13.494851946117041,420000,-908500
6616,420000_-912000,2473.81,11.787285522969173,5,5.271434339911646,5.271434339911646,420000,-912000
6617,420000_-912500,2458.017142857143,2.1224423263238394,21,0.46315488659795995,0.46315488659795995,420000,-912500
6618,420000_-913000,2458.5950000000003,0.09192388155384601,2,0.0649999999997135,0.0649999999997135,420000,-913000
6619,420000_-913500,2436.722222222222,2.485382100001332,18,0.585810178916868,0.585810178916868,420000,-913500
6620,420000_-914000,2447.9872727272727,2.8021173812284106,11,0.8448701792789,0.8448701792789,420000,-914000
6621,420000_-916000,2937.9153571428574,37.34711179096694,28,7.057940713244758,7.057940713244758,420000,-916000
6622,420000_-916500,2983.3744444444446,47.76331568935532,27,9.19205439021279,9.19205439021279,420000,-916500
6623,420000_-918000,3486.325,7.097341051407978,10,2.2443763053463406,2.2443763053463406,420000,-918000
6624,420000_-918500,3520.3550000000005,12.438451206683936,20,2.7813222432959566,2.7813222432959566,420000,-918500
6625,420000_-919000,3542.71,1.046518036156264,2,0.7400000000001228,0.7400000000001228,420000,-919000
6626,420000_-924000,2560.935,0.7283199846219639,2,0.5149999999998727,0.5149999999998727,420000,-924000
6627,420000_-924500,2564.4456,36.80231968232419,25,7.360463936464837,7.360463936464837,420000,-924500
6628,420000_-925000,2515.7191489361703,16.029811741793313,47,2.338188353429532,2.338188353429532,420000,-925000
6629,420000_-926000,2568.870909090909,5.717363823556275,11,1.7238500538807162,1.7238500538807162,420000,-926000
6630,420000_-926500,2544.748888888889,12.834646902471183,9,4.278215634157061,4.278215634157061,420000,-926500
6631,420000_-928000,2453.2053333333333,1.6322809048633118,15,0.4214531173911986,0.4214531173911986,420000,-928000
6632,420000_-928500,2473.225454545455,19.17746302481615,33,3.3383678105370618,3.3383678105370618,420000,-928500
6633,420000_-930000,2402.1242857142856,18.078439651135945,14,4.831666233001409,4.831666233001409,420000,-930000
6634,420000_-930500,2390.5033333333336,12.409625540708586,12,3.582350323235279,3.582350323235279,420000,-930500
6635,420000_-933500,1456.4959999999999,2.2666551820438454,15,0.5852478514433702,0.5852478514433702,420000,-933500
6636,420000_-934000,1450.87,1.0590561835898575,12,0.305723186341271,0.305723186341271,420000,-934000
6637,420000_-934500,1709.1246153846153,1.8402201652003227,13,0.5103852433671213,0.5103852433671213,420000,-934500
6638,420000_-935000,1698.937777777778,5.179718997097035,18,1.2208714758293657,1.2208714758293657,420000,-935000
6639,420000_-938500,1267.8030769230768,112.95576899899298,26,22.152448857644007,22.152448857644007,420000,-938500
6640,420000_-939500,956.4342857142857,163.40462388107096,21,35.657812278133164,35.657812278133164,420000,-939500
6641,420000_-940000,761.5111764705882,57.36528402291244,17,13.913125015883834,13.913125015883834,420000,-940000
6642,420000_-941000,494.2214285714286,7.236293776447123,7,2.7350619637547875,2.7350619637547875,420000,-941000
6643,420000_-941500,462.0554545454545,7.421779252492445,11,2.2377506415783466,2.2377506415783466,420000,-941500
6644,420000_-942000,389.155,0.9121677477306809,2,0.6450000000000244,0.6450000000000244,420000,-942000
6645,420000_-942500,381.7,3.35809469789043,17,0.8144575964840511,0.8144575964840511,420000,-942500
6646,420000_-985500,244.10975,11.499860977420559,40,1.8182876731969566,1.8182876731969566,420000,-985500
6647,420000_-986000,232.4375,1.0803273313478399,8,0.3819533909486119,0.3819533909486119,420000,-986000
6648,420500_-803500,1441.5976470588234,17.664335017702914,17,4.28423053436976,4.28423053436976,420500,-803500
6649,420500_-810000,1670.0,,1,,,420500,-810000
6650,420500_-815500,1546.3611764705881,5.503155779133638,17,1.3347113265644848,1.3347113265644848,420500,-815500
6651,420500_-836000,1627.82,6.845136959915524,3,3.9520416664470845,3.9520416664470845,420500,-836000
6652,420500_-837000,1647.7870588235294,21.000330879746098,17,5.093328375889024,5.093328375889024,420500,-837000
