lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
150.087816,-82.165183,425141.5456557705,-738980.1181051121,2199.32,1472.63,726.69,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.0392950662890432,-1.8023267555092888,0.2900402759428038,0.35639045231925587,-4475.757093469234,-2654.160449965644,427.12201156165116,524.8312717989058,6
150.018787,-82.155616,426553.33208769327,-739371.8200787309,2188.71,1557.65,631.06,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.2722933476232985,-1.6647696569682942,0.27433192715288707,0.3400448160858193,-5097.087732925431,-2593.1284561766633,427.31312632969457,529.6708077760765,6
149.94388,-82.146928,427994.5245835905,-739634.2551562953,2178.83,1551.81,627.02,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.8192271660234627,-1.5354963704130746,0.2738846038956771,0.34872422049362856,-5926.7149085068695,-2382.798622570713,425.01686717135067,541.1537326042177,6
149.863785,-82.139166,429453.3882887088,-739767.8977679145,2175.11,1546.72,628.4,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.635368075046675,-1.128732330114383,0.2858510553729444,0.3751195316053979,-7169.616509036194,-1745.8328696345186,442.1315443664406,580.2048819247011,6
149.781714,-82.131789,430917.8331320848,-739847.7394611675,2166.71,1669.68,497.03,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.471962636100674,-1.6917797702058481,0.4596236030399455,0.6264099038505743,-7466.746574244574,-2824.7308467173007,767.4243375237362,1045.904088261227,6
149.699965,-82.12438,432380.9942841904,-739930.3536585325,2176.04,1615.29,560.75,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.201651630090414,-2.0319939810700167,0.6848366862296409,0.9446827038643847,-6786.885861568744,-3282.2595576825875,1106.2098508998765,1525.936524725102,6
149.619022,-82.116824,433842.97560256167,-740030.2477116855,2173.3,1618.15,555.15,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.5287078256964515,-1.0528677323060063,0.6212754267216919,0.8874374927583744,-7328.128568150713,-1703.6979210309642,1005.3168317497058,1436.0069789069635,6
149.538927,-82.109115,435303.6166612553,-740148.3298760264,2167.82,1614.11,553.72,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.582439048812921,-0.8891354674043452,0.4630594492029398,0.6803739616216653,-7396.560693079423,-1435.1624492920275,747.4288875529571,1098.198415193146,6
149.460501,-82.101104,436760.6245418918,-740304.8924340394,2164.68,1614.12,550.56,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.700654298106421,-0.7383972399060188,0.3315217193675671,0.47793685594394747,-5973.300115659536,-1191.861752877103,535.1158376655774,771.4474379162444,6
149.383176,-82.092905,438215.1019717263,-740484.9389300423,2174.76,1369.56,805.2,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.650651306525167,-1.0743501381506846,0.2592941117065228,0.35841989440858857,-4999.7860033646075,-1471.3869752056514,355.1188436287853,490.87755058622656,6
